name,state,partner_id:id,section_id:id
"Slot0A","("1", "Available")",0,parking_section_demo_1
"Slot1A","("1", "Available")",0,parking_section_demo_1
"Slot2A","("1", "Available")",0,parking_section_demo_1
"Slot3A","("1", "Available")",0,parking_section_demo_1
"Slot4A","("1", "Available")",0,parking_section_demo_1
"Slot5A","("1", "Available")",0,parking_section_demo_1
"Slot6A","("1", "Available")",0,parking_section_demo_1
"Slot7A","("1", "Available")",0,parking_section_demo_1
"Slot8A","("1", "Available")",0,parking_section_demo_1
"Slot9A","("1", "Available")",0,parking_section_demo_1
"Slot0B","("1", "Available")",0,parking_section_demo_2
"Slot1B","("1", "Available")",0,parking_section_demo_2
"Slot2B","("1", "Available")",0,parking_section_demo_2
"Slot3B","("1", "Available")",0,parking_section_demo_2
"Slot4B","("1", "Available")",0,parking_section_demo_2
"Slot5B","("1", "Available")",0,parking_section_demo_2
"Slot6B","("1", "Available")",0,parking_section_demo_2
"Slot7B","("1", "Available")",0,parking_section_demo_2
"Slot8B","("1", "Available")",0,parking_section_demo_2
"Slot9B","("1", "Available")",0,parking_section_demo_2
"Slot0C","("1", "Available")",0,parking_section_demo_3
"Slot1C","("1", "Available")",0,parking_section_demo_3
"Slot2C","("1", "Available")",0,parking_section_demo_3
"Slot3C","("1", "Available")",0,parking_section_demo_3
"Slot4C","("1", "Available")",0,parking_section_demo_3
"Slot5C","("1", "Available")",0,parking_section_demo_3
"Slot6C","("1", "Available")",0,parking_section_demo_3
"Slot7C","("1", "Available")",0,parking_section_demo_3
"Slot8C","("1", "Available")",0,parking_section_demo_3
"Slot9C","("1", "Available")",0,parking_section_demo_3
"Slot0D","("1", "Available")",0,parking_section_demo_4
"Slot1D","("1", "Available")",0,parking_section_demo_4
"Slot2D","("1", "Available")",0,parking_section_demo_4
"Slot3D","("1", "Available")",0,parking_section_demo_4
"Slot4D","("1", "Available")",0,parking_section_demo_4
"Slot5D","("1", "Available")",0,parking_section_demo_4
"Slot6D","("1", "Available")",0,parking_section_demo_4
"Slot7D","("1", "Available")",0,parking_section_demo_4
"Slot8D","("1", "Available")",0,parking_section_demo_4
"Slot9D","("1", "Available")",0,parking_section_demo_4